,Time,Volume
195,6.23926854133606,1.03
196,6.23926854133606,0.8
197,6.23926854133606,1.11
198,6.355563402175903,0.97
199,6.355563402175903,1.31
200,6.355563402175903,1.34
201,6.355563402175903,1.37
202,6.355563402175903,1.02
203,6.472052335739136,0.82
204,6.472052335739136,0.67
205,6.472052335739136,0.84
206,6.472052335739136,0.76
207,6.472052335739136,0.99
208,6.472052335739136,1.0
209,6.60634446144104,0.9
210,6.60634446144104,1.26
211,6.60634446144104,1.21
212,6.60634446144104,0.91
213,6.60634446144104,1.05
214,6.72318434715271,1.12
215,6.72318434715271,1.22
216,6.72318434715271,1.06
217,6.72318434715271,1.09
218,6.72318434715271,1.06
219,6.8405070304870605,1.34
220,6.8405070304870605,1.36
221,6.841399431228638,1.07
222,6.841399431228638,0.98
